odid,display_name,similarity score,release_date,MONTH,release_pattern,distributor,movie_url,production_year,running_time,sequel,opening_weekend_revenue,opening_weekend_theaters,maximum_theaters,theatrical_engagements,domestic_dvd_units,domestic_dvd_spending,domestic_bluray_units,domestic_bluray_spending,creative_type,source,production_method,genre,production_budget,domestic_box_office,international_box_office,inflation_adjusted_domestic_box_,franchise,video_rental_spending,rating,reason,production_company1,production_company2,production_company3,imdbid,movieId,imdb_moviemeter,imdb_rating,imdb_votes
193480100,Planes: Fire and Rescue,0.490371525,7/18/14,7,Wide,Walt Disney,Planes-Fire-and-Rescue,2014,83,1,17509407,3826,3839,16636,987542,16248982,531721,10620029,Kids Fiction,Original Screenplay,Digital Animation,Adventure,50000000,59157732,97241912,61040349,Planes,,PG,,Walt Disney Pictures,DisneyToon Studios,Prana Studios,2980706,112460,,,
193510100,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",0.490371525,10/10/14,10,Wide,Walt Disney,Alexander-and-the-Terrible-Horrible-No-Good-Very-Bad-Day,2013,81,0,18360230,3088,3176,19460,643780,10907766,175453,3520108,Kids Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,28000000,66954149,34425138,69055550,,,PG,for rude humor including some reckless behavior and language.,21 Laps Entertainment,Jim Henson Productions,,1698641,115381,,,
196280100,Million Dollar Arm,0.490608979,5/16/14,5,Wide,Walt Disney,Million-Dollar-Arm,2013,123,0,10515659,3019,3019,12208,190018,3778177,88323,1701363,Contemporary Fiction,Original Screenplay,Live Action,Drama,25000000,36447959,2769953,37607865,,,PG,for mild language and some suggestive content.,Roth Films,Mayhem Pictures,,1647668,111795,,,
147140100,Labor Day,0.490846318,1/31/14,1,Wide,Paramount Pictures,Labor-Day,2011,111,0,5175282,2584,2584,7483,221266,3331777,99987,1922934,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,18000000,13371528,818282,13797052,,16915202,PG-13,"for thematic material, brief violence and sexuality.",Right of Way Films,Mr. Mudd,,1967545,108780,,6.9,19775
212890100,Top Five,0.490846318,12/12/14,12,Wide,Paramount Pictures,Top-Five,2014,101,0,6896593,979,1426,5711,66549,963690,29593,607223,Contemporary Fiction,Original Screenplay,Live Action,Comedy,12000000,25317379,197469,26072877,,,R,"for strong sexual content, nudity, crude humor, language throughout and some drug use.",IACF,,,2784678,118924,,,
203520100,Brick Mansions,0.491971823,4/25/14,4,Wide,Relativity,Brick-Mansions,2014,89,0,9516855,2647,2647,8460,205891,3505764,102331,2346477,Science Fiction,Original Screenplay,Live Action,Action,28000000,20396829,53024395,21045925,,,PG-13,"for frenetic gunplay, violence and action throughout, language, sexual menace and drug material.",EuropaCorp,Transfilm Intl.,,1430612,110826,,,
191210100,When the Game Stands Tall,0.492294731,8/22/14,8,Wide,Sony Pictures,When-the-Game-Stands-Tall,2014,114,0,8381509,2673,2766,13925,654330,9479370,142483,2999153,Contemporary Fiction,Based on Factual Book/Article,Live Action,Drama,15000000,30127963,10949,31086746,,,PG,"for thematic material, a scene of violence, and brief smoking.",Mandalay Sports Media,,,2247476,117308,,,
193640100,Dolphin Tale 2,0.49382716,9/12/14,9,Wide,Warner Bros.,Dolphin-Tale-2,2014,107,1,15873397,3656,3656,16995,954164,14098162,256040,6010497,Kids Fiction,Original Screenplay,Live Action,Drama,36000000,42024533,15800000,43361905,Dolphin Tale,,PG,for some mild thematic elements.,Alcon Entertainment,,,2978462,117194,,,
191850100,Devil's Due,0.495628192,1/17/14,1,Wide,20th Century Fox,Devils-Due,2013,89,0,8308220,2544,2544,7059,161298,2504443,62047,1401130,Fantasy,Original Screenplay,Live Action,Horror,7000000,15821461,20324626,16324956,,3902787,R,for language and some bloody images.,Davis Entertainment,,,2752758,108243,,,
199460100,The Best of Me,0.496641165,10/17/14,10,Wide,Relativity,Best-of-Me-The,2014,118,0,10003827,2936,2936,11060,694897,9832226,123853,2492974,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,26000000,26766213,1100000,27617169,,,PG-13,"for sexuality, violence, some drug content and brief strong language.",Relativity Media,Di Novi Pictures,,1972779,115147,,,
190390100,Earth to Echo,0.496715187,7/2/14,7,Wide,Relativity,Earth-to-Echo,2013,89,0,8364199,3230,3230,12853,457128,6230404,170069,3333821,Kids Fiction,Original Screenplay,Animation/Live Action,Adventure,13000000,38934842,3239703,40173890,,,PG,"for some action and peril, and mild language.",Panay Films,,,2183034,113071,,,
174430100,300: Rise of an Empire,0.496985107,3/7/14,3,Wide,Warner Bros.,300-Rise-of-an-Empire,2013,102,1,45038460,3470,3490,15968,992074,16749476,749453,16180476,Historical Fiction,Based on Comic/Graphic Novel,Animation/Live Action,Action,110000000,106580051,224200000,109971820,300,50025,R,"for strong sustained sequences of stylized bloody violence throughout, a sex scene, nudity and some language.",Gianni Nunnari,Cruel and Unusual Films,Mark Canton,1253863,109673,,,
201620100,Step Up All In,0.497459634,8/8/14,8,Wide,Lionsgate,Step-Up-All-In,2014,112,1,6469857,2072,2072,5964,159541,2376375,14501,288518,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,14904384,62900000,15378697,Step Up,,PG-13,for some language and suggestive material.,Summit Entertainment,,,2626350,113103,,,
190810100,The Nut Job,0.498487357,1/17/14,1,Wide,Open Road,Nut-Job-The,2013,86,0,19405000,3427,3472,19812,855975,13982065,379657,8437374,Kids Fiction,Based on Short Film,Digital Animation,Adventure,30000000,64251538,58278428,66296260,The Nut Job,16360156,PG,for mild action and rude humor.,Redrover,Toonbox Entertainment,Gulfstream Pictures,1821658,110130,,,
141410100,Blended,0.499169577,5/23/14,5,Wide,Warner Bros.,Blended,2014,117,0,14284031,3555,3555,14592,824078,11823341,259077,5974612,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,45000000,46290741,81700000,47763883,,,PG-13,"for crude and sexual content, and language.",Gulfstream Pictures,Happy Madison,,1086772,111617,,,
199900100,This is Where I Leave You,0.500182419,9/19/14,9,Wide,Warner Bros.,This-is-Where-I-Leave-You,2013,103,0,11558149,2868,2868,11431,275124,3389126,26557,608749,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,20000000,34296320,7000000,35387749,,,R,"for language, sexual content and some drug use.",Spring Creek Prod,21 Laps Entertainment,RatPac Entertainment,1371150,114601,,,
191590100,Tammy,0.500426349,7/2/14,7,Wide,Warner Bros.,Tammy,2014,96,0,21577049,3465,3465,16446,890476,11976079,257014,4699170,Contemporary Fiction,Original Screenplay,Live Action,Comedy,20000000,84525432,9405928,87215347,,,R,for language including sexual references.,Gary Sanchez Productions,On The Day Productions,,2103254,112497,,,
196800100,Get on Up,0.501062931,8/1/14,8,Wide,Universal,Get-on-Up,2014,138,0,13585915,2468,2469,7595,217708,3539450,61240,1409292,Dramatization,Based on Real Life Events,Live Action,Drama,30000000,30569935,2745869,31542784,,,PG-13,"for sexual content, drug use, some strong language, and violent situations.",Jagged Films,Brian Grazer Productions,Wyolah Films,2473602,113207,,,
196470100,Winter's Tale,0.501329659,2/14/14,2,Wide,Warner Bros.,Winters-Tale,2013,118,0,7297694,2965,2965,6996,247537,3467112,53417,1283843,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama,60000000,12600231,9868389,13001210,,,PG-13,for violence and some sensuality.,Weed Road Pictures,Marc Platt Productions,,1837709,109191,,,
191860100,The Other Woman,0.504123493,4/25/14,4,Wide,20th Century Fox,Other-Woman-The-(2014),2014,109,0,24763752,3205,3306,17603,965117,12553488,210263,4519696,Contemporary Fiction,Original Screenplay,Live Action,Comedy,40000000,83911193,111200000,86581554,,,PG-13,"on appeal for mature thematic material, sexual references and language.",LBI Entertainment,,,2203939,110771,,,
192720100,3 Days to Kill,0.504657713,2/21/14,2,Wide,Relativity,3-Days-to-Kill,2013,100,0,12242218,2872,2872,11265,410594,5896886,228834,4505188,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,28000000,30697999,8261901,31674924,,3515282,PG-13,"for intense sequences of violence and action, some sensuality and language.",3DTK Inc.,Relativity Media,Wonderland Sound and Vision,2172934,109569,,,
200850100,Draft Day,0.506128765,4/11/14,4,Wide,Lionsgate,Draft-Day,2014,109,0,9783603,2781,2781,10795,592890,7795453,164325,3154431,Contemporary Fiction,Original Screenplay,Live Action,Drama,25000000,28842237,434667,29760100,,,PG-13,on appeal for brief strong language and sexual references.,Summit Entertainment,,,2223990,110453,,,
204470100,The November Man,0.506245483,8/27/14,8,Wide,Relativity,November-Man-The,2014,108,0,7911597,2776,2776,10424,65645,888329,31380,520488,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,15000000,25018119,9802216,25814287,,,R,"for strong violence including a sexual assault, language, sexuality/nudity and brief drug use.",Irish Dreamtime,SPD Films,The Solution Entertainment Group,2402157,114439,,,
147730100,Mr. Peabody & Sherman,0.506335415,3/7/14,3,Wide,20th Century Fox,Mr-Peabody-and-Sherman,2013,91,0,32207057,3934,3951,23555,1323423,19245775,594871,10746863,Kids Fiction,Based on TV,Digital Animation,Adventure,145000000,111506430,158300000,115054975,,,PG,for some mild action and brief rude humor.,PDI,Bullwinkle Studios,DreamWorks Animation,864835,109846,,,
178540100,Need for Speed,0.507330556,3/14/14,3,Wide,Walt Disney,Need-for-Speed,2014,130,0,17844939,3115,3115,12334,344763,6837518,195562,4490112,Contemporary Fiction,Based on Game,Live Action,Action,66000000,43568507,150601112,44955015,,,PG-13,"for sequences of reckless street racing, disturbing crash scenes, nudity and crude language.",Electronic Arts,Bandito Brothers,Mark Sourian,2369135,109850,,,
188030100,Rio 2,0.510809305,4/11/14,4,Wide,20th Century Fox,Rio-2,2014,101,1,39327869,3948,3975,26391,1842366,27853605,1079263,25030098,Kids Fiction,Original Screenplay,Digital Animation,Adventure,130000000,131538435,362200000,135724475,Rio,,G,,20th Century Fox Animation,Blue Sky Studios,,2357291,110655,,,
201180100,Lucy,0.511150421,7/25/14,7,Wide,Universal,Lucy,2014,88,0,43899340,3173,3202,19513,891643,13614876,664336,13956111,Science Fiction,Original Screenplay,Live Action,Action,40000000,126573960,330933816,130602011,,,R,"for strong violence, disturbing images, and sexuality.",EuropaCorp,TF1 Film Productions,Canal Plus,2872732,111360,,,
193500100,The Expendables 3,0.512327292,8/15/14,8,Wide,Lionsgate,Expendables-3-The,2014,103,1,15879645,3221,3221,13448,1102445,15651053,534853,10127422,Contemporary Fiction,Original Screenplay,Live Action,Action,100000000,39322544,170138834,40573927,The Expendables,,PG-13,"for violence including intense sustained gun battles and fight scenes, and for language.",Nu Image,Millennium Films,,2333784,112897,,,
198210100,Horrible Bosses 2,0.514420501,11/26/14,11,Wide,Warner Bros.,Horrible-Bosses-2,2014,108,1,15457418,3375,3400,14739,313983,5045900,108222,2633860,Contemporary Fiction,Original Screenplay,Live Action,Comedy,40000000,54445357,51500000,56134030,Horrible Bosses,,R,for strong crude sexual content and language throughout.,RatPac Entertainment,Benderspink Productions,,2170439,117590,,,
199800100,Jersey Boys,0.518385057,6/20/14,6,Wide,Warner Bros.,Jersey-Boys,2014,132,0,13319371,2905,2905,12980,655406,8418174,126021,2837011,Dramatization,Based on Real Life Events,Live Action,Drama,40000000,47047013,18235719,48544222,,,R,for language throughout.,GK Films,Malpaso Productions,,1742044,112316,,,
185160100,The Book of Life,0.520377249,10/17/14,10,Wide,20th Century Fox,Book-of-Life-The,2014,95,0,17005218,3071,3113,14265,852242,11230233,400482,8762405,Fantasy,Original Screenplay,Digital Animation,Adventure,50000000,50151543,47500000,51728857,,,PG,"for mild action, rude humor, some thematic elements and brief scary images.",Guillermo del Toro,,,2262227,115664,,,
193250100,Non-Stop,0.520457747,2/28/14,2,Wide,Universal,Non-Stop-(2013),2013,110,0,28875635,3090,3183,18771,723344,11182844,395694,7624219,Contemporary Fiction,Original Screenplay,Live Action,Action,50000000,91742160,121000000,94661735,,1189266,PG-13,"for intense sequences of action and violence, some, language, sensuality and drug references.",Silver Pictures,Anton Capital Entertainment,Lovefilm,2024469,109578,,,
