odid,display_name,similarity score,release_date,MONTH,release_pattern,distributor,movie_url,production_year,running_time,sequel,opening_weekend_revenue,opening_weekend_theaters,maximum_theaters,theatrical_engagements,domestic_dvd_units,domestic_dvd_spending,domestic_bluray_units,domestic_bluray_spending,creative_type,source,production_method,genre,production_budget,domestic_box_office,international_box_office,inflation_adjusted_domestic_box_,franchise,video_rental_spending,rating,reason,production_company1,production_company2,production_company3,imdbid,movieId,imdb_moviemeter,imdb_rating,imdb_votes
181590100,Godzilla,0.605441825,5/16/14,5,Wide,Warner Bros.,Godzilla-(2014),2014,123,0,93188384,3952,3952,20644,1018790,16832480,1025396,21529551,Science Fiction,Remake,Live Action,Action,160000000,200672193,328400000,207058326,Godzilla,,PG-13,"for intense sequences of destruction, mayhem and creature violence.",Legendary Pictures,,,831387,111364,,,
188460100,Transcendence,0.610206339,4/18/14,4,Wide,Warner Bros.,Transcendence,2014,119,0,10886386,3455,3455,10008,266808,3652025,164294,3946618,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,100000000,23022309,80016949,23754964,,,PG-13,"for sci-fi action and violence, some bloody images, brief strong language and sensuality.",Straight Up Films,DMG Entertainment,,2209764,110730,,,
198430100,The Fault in Our Stars,0.613645641,6/6/14,6,Wide,20th Century Fox,Fault-in-Our-Stars-The,2014,125,0,48002523,3173,3340,17775,1850043,25686307,698977,17803515,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,12000000,124872350,182294484,128846253,,,PG-13,"for thematic elements, some sexuality and brief strong language.",20th Century Fox,,,2582846,111921,,,
195940100,Neighbors,0.617855096,5/9/14,5,Wide,Universal,Neighbors-(2013),2013,91,0,49033915,3279,3311,20398,1105128,16945495,595257,10578356,Contemporary Fiction,Original Screenplay,Live Action,Comedy,18000000,150086800,120507734,154863121,Neighbors,,R,"for pervasive language, strong crude and sexual content, graphic nudity, and drug use throughout.",Good Universe,Point Grey,,2004420,111113,,,
165290100,The Amazing Spider-Man 2,0.635277194,5/2/14,5,Wide,Sony Pictures,Amazing-Spider-Man-2-The,2013,141,1,91608337,4324,4324,22133,1276814,20998213,1045559,25511203,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,200000000,202853933,506142403,209309498,Spider-Man,,PG-13,for sequences of sci-fi action/violence.,Marvel Studios,,,1872181,110553,,,
141710100,Chef,0.664031859,6/6/14,6,Wide,Open Road,Chef,2014,115,0,204961,6,1298,9869,408032,5215011,130009,2880449,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,31424004,15405305,32424031,,,R,"for language, including some suggestive references.",Fairview Entertainment,,,2883512,111443,,,
195480100,The Interview,0.666393781,2/6/14,2,Wide,Sony Pictures,Interview-The,2014,111,0,0,0,581,1734,378201,3690925,257542,3412555,Contemporary Fiction,Original Screenplay,Live Action,Comedy,44000000,6105175,6237457,6263043,,,R,"for pervasive language, crude and sexual humor, nudity, some drug use and bloody violence.",Point Grey,Sony Pictures,LStar Capital,2788710,119141,,,
165370100,Guardians of the Galaxy,0.678993122,8/1/14,8,Wide,Walt Disney,Guardians-of-the-Galaxy,2014,121,0,94320883,4080,4088,37350,3113020,46575516,3615846,76354820,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,170000000,333172112,438000000,343771168,Marvel Cinematic Universe,,PG-13,"for intense sequences of sci-fi violence and action, and for some language.",Marvel Studios,,,2015381,112852,,,
212530100,John Wick,0.691626007,10/24/14,10,Wide,Lionsgate,John-Wick,2014,96,0,14415922,2589,2589,11816,905689,11535618,593272,10186465,Contemporary Fiction,Original Screenplay,Live Action,Action,0,43037835,33200000,44403870,John Wick,,R,"strong and bloody violence throughout, language and brief drug use.",Thunder Road Film,87Eleven Inc.,MJW Films,2911666,115149,,,
210210100,Nightcrawler,0.72581642,10/31/14,10,Wide,Open Road,Nightcrawler,2014,117,0,10441000,2766,2766,12147,155258,2492482,121699,2564769,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,8500000,32381218,17953200,33399036,,,R,"for violence including graphic images, and for language.",Bold Films,,,2872718,115569,,,
191970100,Big Hero 6,0.771964374,11/7/14,11,Wide,Walt Disney,Big-Hero-6,2014,108,0,56215889,3761,3773,32851,2660524,43705058,2725108,53020705,Science Fiction,Original Screenplay,Digital Animation,Adventure,165000000,222527828,429600000,229249222,,,PG,"for action and peril, some rude humor, and thematic elements.",Walt Disney Animation Studios,,,2245084,115617,,,
198800100,Gone Girl,0.78376207,10/3/14,10,Wide,20th Century Fox,Gone-Girl,2014,149,0,37513109,3014,3284,26324,1126988,15864797,439947,8942850,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,61000000,167767189,200800000,173073051,,,R,"for a scene of bloody violence, some strong sexual content/nudity, and language.",Regency Enterprises,TSG Entertainment,,2267998,112556,,,
600100,Ghostbusters,0.785460834,8/29/14,8,Wide,Sony Pictures,Ghostbusters,1984,107,0,13612564,1339,1506,35601,,,,,Fantasy,Original Screenplay,Live Action,Comedy,30000000,242212467,53000000,576147288,Ghostbusters,44459,PG,,Columbia Pictures,,,87332,2716,,,
174890100,Captain America: The Winter Soldier,0.842052517,4/4/14,4,Wide,Walt Disney,Captain-America-The-Winter-Soldier,2014,135,1,95023721,3938,3938,27560,1702588,26770566,1962633,37498717,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,170000000,259746958,454654931,268013076,Captain America,,PG-13,"for intense sequences of violence, gunplay and action throughout.",Marvel Studios,,,1843866,110102,,,
140210100,Edge of Tomorrow,0.998463369,6/6/14,6,Wide,Warner Bros.,Edge-of-Tomorrow,2011,136,0,28760246,3490,3505,17714,800188,10396267,766669,15158285,Science Fiction,Based on Comic/Graphic Novel,Live Action,Action,178000000,100206256,264200000,103395189,,,PG-13,"for intense sequences of sci-fi action and violence, language and brief suggestive material.",Warner Bros.,Village Roadshow Productions,RatPac Entertainment,1631867,111759,,,
