,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ
869,24.0,8.6,20471,20.9,19.4,22.1,21.5,9.4,16.1,0.6,0.3,28.4,1.9,5.5,0.9
870,17.0,7.3,30657,10.3,15.0,23.0,15.5,10.4,49.9,1.2,13.8,2.9,1.5,7.7,2.4
871,21.2,8.0,21666,17.6,21.1,22.0,24.4,5.3,14.0,0.0,0.4,18.4,1.7,7.1,1.3
872,21.4,5.7,26960,9.5,11.1,21.5,13.2,10.1,32.6,1.2,12.3,16.0,3.1,4.6,3.7
873,26.6,8.0,21137,19.0,14.6,19.6,17.1,9.6,43.8,1.5,3.9,22.0,1.6,7.8,5.7
874,17.4,6.3,26064,11.6,12.5,20.9,12.0,10.7,38.0,0.9,15.9,9.8,1.6,5.8,5.0
875,8.2,4.3,33227,10.3,21.5,22.5,18.5,8.5,37.0,1.3,4.2,10.5,3.0,15.8,2.4
876,17.2,7.2,25436,12.8,21.0,22.0,17.1,8.5,44.8,4.6,6.5,20.9,2.1,5.5,7.1
877,17.8,7.6,28480,11.7,18.7,21.4,15.2,9.4,47.9,4.2,13.5,10.3,3.8,8.4,2.9
878,14.0,4.3,26004,11.8,30.7,17.5,21.2,5.3,5.1,0.1,3.2,15.3,2.3,3.7,1.1
879,9.9,2.7,32624,11.9,13.1,26.8,9.5,7.8,26.3,3.3,6.9,4.9,3.5,3.2,1.1
880,19.8,2.7,21571,10.8,16.1,19.1,19.6,10.7,31.1,0.8,5.0,18.9,2.3,7.0,12.2
881,14.6,4.7,26620,15.3,26.5,19.0,17.8,6.8,5.3,0.0,0.5,23.0,1.1,2.8,1.3
882,19.4,5.5,23538,11.4,20.1,22.6,20.4,9.6,15.4,0.4,0.4,32.4,1.2,5.3,1.1
883,18.4,5.8,26432,10.9,13.3,24.8,17.5,13.0,23.3,0.9,9.1,6.5,2.7,7.6,3.6
884,21.4,5.8,23005,14.9,16.7,21.7,20.4,8.4,33.3,0.1,5.4,30.2,1.6,6.7,5.6
885,17.6,7.5,21064,14.6,18.3,20.9,23.7,8.7,17.4,0.4,1.1,25.5,2.9,5.8,6.2
886,19.2,6.4,24590,17.1,17.5,25.8,18.4,12.0,35.4,3.4,2.1,15.6,2.4,8.2,1.4
887,22.2,5.8,26005,18.3,22.8,19.7,22.7,9.1,41.1,0.3,0.2,26.1,1.9,9.1,1.9
888,17.7,7.2,20451,14.5,19.2,22.4,23.7,7.6,4.5,0.2,3.5,11.7,1.4,5.8,3.4
889,15.8,10.8,26216,11.8,20.4,22.1,21.6,8.3,26.9,0.1,2.0,20.7,0.9,8.3,1.3
890,21.2,8.1,22938,14.0,16.0,23.8,19.3,12.6,31.0,0.1,8.2,13.3,3.6,7.9,3.1
891,17.0,6.8,21699,16.6,19.0,22.8,24.1,6.1,7.8,0.0,0.3,25.2,3.8,6.0,1.7
892,16.6,4.5,21919,15.2,20.1,21.7,27.3,8.5,12.5,1.7,0.8,20.6,2.8,5.0,1.7
893,20.1,7.3,24522,15.2,16.9,24.1,16.9,10.6,39.1,0.8,1.2,21.7,5.0,4.8,1.2
894,16.8,4.4,27823,15.0,11.1,24.8,10.3,9.1,28.6,3.7,15.7,5.3,3.4,6.0,3.5
895,11.7,6.1,32494,9.6,27.0,17.2,21.4,6.5,18.4,0.7,1.2,7.4,2.0,2.5,1.1
896,21.0,9.8,25404,14.8,21.7,20.7,20.1,9.3,28.9,3.5,2.8,22.9,3.2,6.9,1.6
897,11.4,6.4,37145,5.8,25.4,17.3,14.9,6.1,14.8,1.1,3.8,6.4,2.0,4.1,1.2
898,23.7,9.3,21328,13.5,12.8,23.9,18.4,6.3,51.7,4.2,6.5,16.0,3.2,8.2,6.6
899,9.0,4.4,38972,7.6,12.3,24.1,9.0,8.7,39.3,4.1,23.4,1.0,2.9,5.0,0.9
900,10.7,5.8,31035,8.0,24.5,17.1,14.5,3.4,23.4,1.0,3.3,11.4,4.0,1.1,1.3
901,12.5,4.8,43831,4.9,13.1,19.6,8.1,6.6,22.2,1.9,17.7,2.9,1.7,5.3,3.6
902,5.0,3.6,47016,3.2,12.9,23.7,8.2,5.1,22.9,1.6,23.6,2.7,1.8,3.1,0.4
903,10.1,2.8,29365,7.1,24.4,15.5,16.9,6.2,15.1,0.6,2.6,9.8,1.0,6.1,6.9
904,10.9,6.2,32348,6.3,12.1,24.6,12.4,8.9,30.5,1.6,12.5,3.1,2.8,4.3,2.7
905,15.3,6.0,21965,9.7,20.9,16.5,18.8,7.3,20.8,1.6,3.4,13.8,1.3,5.5,22.7
906,11.3,5.2,34717,4.5,16.1,17.6,5.1,5.3,12.4,1.2,16.0,6.2,2.1,2.4,2.0
907,10.1,4.9,27471,11.5,18.0,23.5,14.1,9.7,23.4,3.9,2.9,13.3,0.7,4.3,8.4
908,12.0,1.6,35229,3.2,30.4,9.5,17.3,5.1,13.2,0.2,0.3,6.3,0.5,1.6,2.4
909,9.9,4.9,36138,1.6,27.2,14.6,13.2,4.9,6.8,0.7,1.2,9.9,1.4,2.6,0.0
910,6.7,1.7,29236,11.8,18.4,25.7,11.6,4.1,24.3,5.8,1.5,8.0,4.1,4.2,1.8
911,7.2,4.3,56180,3.7,17.2,16.0,3.8,8.1,14.5,0.8,25.6,4.2,1.4,5.5,0.7
912,8.9,2.6,45396,5.0,12.5,18.3,6.8,7.0,13.6,1.3,25.4,2.2,3.0,3.7,0.3
913,17.0,6.7,25048,9.9,25.9,22.9,16.8,7.3,17.7,0.9,4.8,7.8,2.9,5.5,1.8
914,10.6,4.5,30626,11.9,11.6,26.6,10.1,7.8,34.0,3.5,7.0,7.3,2.8,3.6,2.2
915,11.7,4.9,33983,12.3,26.1,19.0,14.1,7.3,25.0,2.3,4.9,16.3,2.1,3.8,1.3
916,21.8,6.1,27896,7.6,13.2,18.0,10.7,6.7,38.5,1.2,20.0,8.2,1.8,6.7,6.2
917,14.7,6.0,28017,9.7,16.5,21.6,19.5,8.7,23.5,1.3,19.3,12.8,2.0,6.5,1.2
918,12.7,6.2,30987,8.0,23.1,18.5,15.6,7.2,25.2,1.4,12.6,7.7,1.5,5.3,1.1
919,11.1,7.3,30528,9.7,39.0,12.5,21.9,4.3,15.9,1.8,9.1,11.5,1.7,4.5,2.1
920,16.7,8.6,25983,11.9,35.9,14.9,21.4,5.5,11.7,0.9,2.4,22.7,1.5,5.8,1.8
921,15.5,6.6,30012,10.5,13.4,22.7,13.5,10.8,46.5,2.7,17.6,4.7,2.4,8.1,2.2
922,17.9,6.1,21379,14.1,20.0,20.2,21.0,9.2,13.5,1.5,0.1,50.6,1.4,4.9,7.6
923,13.9,7.4,21255,15.1,19.9,16.4,18.6,7.6,25.3,0.5,1.4,20.4,0.8,4.5,15.0
924,14.3,7.4,24551,12.6,27.5,18.6,19.1,7.4,21.6,1.3,2.7,16.8,1.3,4.2,1.2
925,20.4,7.8,29754,6.4,12.4,18.7,11.4,8.6,43.2,0.7,18.4,7.9,1.8,6.4,4.9
926,20.7,6.8,22025,15.7,23.5,19.9,19.9,7.9,19.9,1.3,1.4,49.2,2.5,5.1,1.0
927,16.6,8.8,24570,12.7,28.4,18.7,18.1,7.4,29.2,1.2,2.8,20.8,1.7,5.2,2.8
928,11.5,5.6,31901,8.2,15.4,22.2,15.2,7.4,26.1,1.5,16.8,5.4,1.9,5.1,2.9
929,13.0,5.7,33478,8.9,23.9,16.6,15.3,6.9,25.7,2.3,24.0,9.3,1.8,8.1,1.8
930,15.0,6.5,25736,13.9,23.3,20.3,15.7,8.2,42.0,3.8,12.5,8.5,2.5,5.0,1.0
931,17.8,7.3,21755,18.5,20.1,21.7,19.5,10.6,24.4,1.8,2.2,51.8,3.3,5.8,3.6
932,15.2,5.6,27272,10.0,23.8,17.9,17.0,7.3,27.7,1.3,14.0,8.7,1.2,6.0,1.8
933,12.1,5.1,23638,17.0,11.9,26.6,13.0,10.8,27.8,2.5,1.4,8.0,1.9,3.3,0.3
934,23.8,5.6,22360,20.8,15.1,20.7,15.8,9.8,33.3,0.3,1.3,13.7,2.8,6.6,11.7
935,15.8,8.0,30664,10.4,14.4,21.8,14.0,11.6,51.1,1.4,11.7,4.2,1.8,8.3,4.3
936,15.1,4.1,24028,20.9,18.1,18.9,17.3,5.6,6.2,0.3,1.6,21.4,2.6,6.9,8.3
937,8.6,4.0,29795,12.0,11.1,26.8,12.6,9.3,21.3,0.7,2.4,19.7,1.9,2.7,0.6
938,19.5,6.8,22593,22.6,19.7,21.9,20.2,7.4,36.6,1.7,1.4,26.2,1.5,8.9,1.2
