,grade,default,int_rate,return_OPT,return_PESS,return_INTa,return_INTb,return_INTc
A,14.94603794898411,6.196166547509618,7.611139822285774,4.319867712437054,1.6748937648713984,2.0726799057789362,3.772087849213109,6.90230192145971
B,30.995232207279408,12.803296450733821,11.700625143645139,5.796099841811379,1.9730241353866405,2.260936922057214,3.967864318276683,7.1109634327591555
C,26.79682689910292,21.64897556158973,14.949450468070564,6.292311855308971,0.9110063718984451,1.5621230835231763,3.24277101698121,6.34138321836369
D,16.390623171370855,28.747050788526014,17.9507183658264,6.47859066379302,0.18290470685487295,0.943375481494658,2.5852845752150935,5.613925072613571
E,7.2651594946241485,37.407199887939484,20.99018840173694,6.547270430872558,-1.2142143047563974,-0.18276950695581526,1.394026966657613,4.305778494248848
F,2.9232624524874447,42.61096605744125,24.06416013925152,7.189898255305032,-1.720229934953191,-0.5714630523549865,0.9779101654238721,3.839440689280978
G,0.6828578261511141,47.764530551415795,25.683144560357675,6.700130265043949,-2.6517895037603036,-1.6303450018563446,-0.1463899291718252,2.597058599537701
