,grade,default,int_rate,return_OPT,return_PESS,return_INTa,return_INTb,return_INTc
A,14.94603795,6.196166548,7.611139822,4.319867712,1.674893765,2.072679906,3.772087849,6.902301921
B,30.99523221,12.80329645,11.70062514,5.796099842,1.973024135,2.260936922,3.967864318,7.110963433
C,26.7968269,21.64897556,14.94945047,6.292311855,0.911006372,1.562123084,3.242771017,6.341383218
D,16.39062317,28.74705079,17.95071837,6.478590664,0.182904707,0.943375481,2.585284575,5.613925073
E,7.265159495,37.40719989,20.9901884,6.547270431,-1.214214305,-0.182769507,1.394026967,4.305778494
F,2.923262452,42.61096606,24.06416014,7.189898255,-1.720229935,-0.571463052,0.977910165,3.839440689
G,0.682857826,47.76453055,25.68314456,6.700130265,-2.651789504,-1.630345002,-0.146389929,2.5970586
