state,date,vaccination_rate,people_fully_vaccinated,population
Northern Mariana Islands,2020-03-16,NA,NA,55144
Northern Mariana Islands,2020-03-17,NA,NA,55144
Northern Mariana Islands,2020-03-18,NA,NA,55144
Northern Mariana Islands,2020-03-19,NA,NA,55144
Northern Mariana Islands,2020-03-20,NA,NA,55144
Northern Mariana Islands,2020-03-21,NA,NA,55144
Northern Mariana Islands,2020-03-22,NA,NA,55144
Northern Mariana Islands,2020-03-23,NA,NA,55144
Northern Mariana Islands,2020-03-24,NA,NA,55144
Northern Mariana Islands,2020-03-25,NA,NA,55144
Northern Mariana Islands,2020-03-26,NA,NA,55144
Northern Mariana Islands,2020-03-27,NA,NA,55144
Northern Mariana Islands,2020-03-28,NA,NA,55144
Northern Mariana Islands,2020-03-29,NA,NA,55144
Northern Mariana Islands,2020-03-30,NA,NA,55144
Northern Mariana Islands,2020-03-31,NA,NA,55144
Northern Mariana Islands,2020-04-01,NA,NA,55144
Northern Mariana Islands,2020-04-02,NA,NA,55144
Northern Mariana Islands,2020-04-03,NA,NA,55144
Northern Mariana Islands,2020-04-04,NA,NA,55144
Northern Mariana Islands,2020-04-05,NA,NA,55144
Northern Mariana Islands,2020-04-06,NA,NA,55144
Northern Mariana Islands,2020-04-07,NA,NA,55144
Northern Mariana Islands,2020-04-08,NA,NA,55144
Northern Mariana Islands,2020-04-09,NA,NA,55144
Northern Mariana Islands,2020-04-10,NA,NA,55144
Northern Mariana Islands,2020-04-11,NA,NA,55144
Northern Mariana Islands,2020-04-12,NA,NA,55144
Northern Mariana Islands,2020-04-13,NA,NA,55144
Northern Mariana Islands,2020-04-14,NA,NA,55144
Northern Mariana Islands,2020-04-15,NA,NA,55144
Northern Mariana Islands,2020-04-16,NA,NA,55144
Northern Mariana Islands,2020-04-17,NA,NA,55144
Northern Mariana Islands,2020-04-18,NA,NA,55144
Northern Mariana Islands,2020-04-19,NA,NA,55144
Northern Mariana Islands,2020-04-20,NA,NA,55144
Northern Mariana Islands,2020-04-21,NA,NA,55144
Northern Mariana Islands,2020-04-22,NA,NA,55144
Northern Mariana Islands,2020-04-23,NA,NA,55144
Northern Mariana Islands,2020-04-24,NA,NA,55144
Northern Mariana Islands,2020-04-25,NA,NA,55144
Northern Mariana Islands,2020-04-26,NA,NA,55144
Northern Mariana Islands,2020-04-27,NA,NA,55144
Northern Mariana Islands,2020-04-28,NA,NA,55144
Northern Mariana Islands,2020-04-29,NA,NA,55144
Northern Mariana Islands,2020-04-30,NA,NA,55144
Northern Mariana Islands,2020-05-01,NA,NA,55144
Northern Mariana Islands,2020-05-02,NA,NA,55144
Northern Mariana Islands,2020-05-03,NA,NA,55144
Northern Mariana Islands,2020-05-04,NA,NA,55144
Northern Mariana Islands,2020-05-05,NA,NA,55144
Northern Mariana Islands,2020-05-06,NA,NA,55144
Northern Mariana Islands,2020-05-07,NA,NA,55144
Northern Mariana Islands,2020-05-08,NA,NA,55144
Northern Mariana Islands,2020-05-09,NA,NA,55144
Northern Mariana Islands,2020-05-10,NA,NA,55144
Northern Mariana Islands,2020-05-11,NA,NA,55144
Northern Mariana Islands,2020-05-12,NA,NA,55144
Northern Mariana Islands,2020-05-13,NA,NA,55144
Northern Mariana Islands,2020-05-14,NA,NA,55144
Northern Mariana Islands,2020-05-15,NA,NA,55144
Northern Mariana Islands,2020-05-16,NA,NA,55144
Northern Mariana Islands,2020-05-17,NA,NA,55144
Northern Mariana Islands,2020-05-18,NA,NA,55144
Northern Mariana Islands,2020-05-19,NA,NA,55144
Northern Mariana Islands,2020-05-20,NA,NA,55144
Northern Mariana Islands,2020-05-21,NA,NA,55144
Northern Mariana Islands,2020-05-22,NA,NA,55144
Northern Mariana Islands,2020-05-23,NA,NA,55144
Northern Mariana Islands,2020-05-24,NA,NA,55144
Northern Mariana Islands,2020-05-25,NA,NA,55144
Northern Mariana Islands,2020-05-26,NA,NA,55144
Northern Mariana Islands,2020-05-27,NA,NA,55144
Northern Mariana Islands,2020-05-28,NA,NA,55144
Northern Mariana Islands,2020-05-29,NA,NA,55144
Northern Mariana Islands,2020-05-30,NA,NA,55144
Northern Mariana Islands,2020-05-31,NA,NA,55144
Northern Mariana Islands,2020-06-01,NA,NA,55144
Northern Mariana Islands,2020-06-02,NA,NA,55144
Northern Mariana Islands,2020-06-03,NA,NA,55144
Northern Mariana Islands,2020-06-04,NA,NA,55144
Northern Mariana Islands,2020-06-05,NA,NA,55144
Northern Mariana Islands,2020-06-06,NA,NA,55144
Northern Mariana Islands,2020-06-07,NA,NA,55144
Northern Mariana Islands,2020-06-08,NA,NA,55144
Northern Mariana Islands,2020-06-09,NA,NA,55144
Northern Mariana Islands,2020-06-10,NA,NA,55144
Northern Mariana Islands,2020-06-11,NA,NA,55144
Northern Mariana Islands,2020-06-12,NA,NA,55144
Northern Mariana Islands,2020-06-13,NA,NA,55144
Northern Mariana Islands,2020-06-14,NA,NA,55144
Northern Mariana Islands,2020-06-15,NA,NA,55144
Northern Mariana Islands,2020-06-16,NA,NA,55144
Northern Mariana Islands,2020-06-17,NA,NA,55144
Northern Mariana Islands,2020-06-18,NA,NA,55144
Northern Mariana Islands,2020-06-19,NA,NA,55144
Northern Mariana Islands,2020-06-20,NA,NA,55144
Northern Mariana Islands,2020-06-21,NA,NA,55144
Northern Mariana Islands,2020-06-22,NA,NA,55144
Northern Mariana Islands,2020-06-23,NA,NA,55144
Northern Mariana Islands,2020-06-24,NA,NA,55144
Northern Mariana Islands,2020-06-25,NA,NA,55144
Northern Mariana Islands,2020-06-26,NA,NA,55144
Northern Mariana Islands,2020-06-27,NA,NA,55144
Northern Mariana Islands,2020-06-28,NA,NA,55144
Northern Mariana Islands,2020-06-29,NA,NA,55144
Northern Mariana Islands,2020-06-30,NA,NA,55144
Northern Mariana Islands,2020-07-01,NA,NA,55144
Northern Mariana Islands,2020-07-02,NA,NA,55144
Northern Mariana Islands,2020-07-03,NA,NA,55144
Northern Mariana Islands,2020-07-04,NA,NA,55144
Northern Mariana Islands,2020-07-05,NA,NA,55144
Northern Mariana Islands,2020-07-06,NA,NA,55144
Northern Mariana Islands,2020-07-07,NA,NA,55144
Northern Mariana Islands,2020-07-08,NA,NA,55144
Northern Mariana Islands,2020-07-09,NA,NA,55144
Northern Mariana Islands,2020-07-10,NA,NA,55144
Northern Mariana Islands,2020-07-11,NA,NA,55144
Northern Mariana Islands,2020-07-12,NA,NA,55144
Northern Mariana Islands,2020-07-13,NA,NA,55144
Northern Mariana Islands,2020-07-14,NA,NA,55144
Northern Mariana Islands,2020-07-15,NA,NA,55144
Northern Mariana Islands,2020-07-16,NA,NA,55144
Northern Mariana Islands,2020-07-17,NA,NA,55144
Northern Mariana Islands,2020-07-18,NA,NA,55144
Northern Mariana Islands,2020-07-19,NA,NA,55144
Northern Mariana Islands,2020-07-20,NA,NA,55144
Northern Mariana Islands,2020-07-21,NA,NA,55144
Northern Mariana Islands,2020-07-22,NA,NA,55144
Northern Mariana Islands,2020-07-23,NA,NA,55144
Northern Mariana Islands,2020-07-24,NA,NA,55144
Northern Mariana Islands,2020-07-25,NA,NA,55144
Northern Mariana Islands,2020-07-26,NA,NA,55144
Northern Mariana Islands,2020-07-27,NA,NA,55144
Northern Mariana Islands,2020-07-28,NA,NA,55144
Northern Mariana Islands,2020-07-29,NA,NA,55144
Northern Mariana Islands,2020-07-30,NA,NA,55144
Northern Mariana Islands,2020-07-31,NA,NA,55144
Northern Mariana Islands,2020-08-01,NA,NA,55144
Northern Mariana Islands,2020-08-02,NA,NA,55144
Northern Mariana Islands,2020-08-03,NA,NA,55144
Northern Mariana Islands,2020-08-04,NA,NA,55144
Northern Mariana Islands,2020-08-05,NA,NA,55144
Northern Mariana Islands,2020-08-06,NA,NA,55144
Northern Mariana Islands,2020-08-07,NA,NA,55144
Northern Mariana Islands,2020-08-08,NA,NA,55144
Northern Mariana Islands,2020-08-09,NA,NA,55144
Northern Mariana Islands,2020-08-10,NA,NA,55144
Northern Mariana Islands,2020-08-11,NA,NA,55144
Northern Mariana Islands,2020-08-12,NA,NA,55144
Northern Mariana Islands,2020-08-13,NA,NA,55144
Northern Mariana Islands,2020-08-14,NA,NA,55144
Northern Mariana Islands,2020-08-15,NA,NA,55144
Northern Mariana Islands,2020-08-16,NA,NA,55144
Northern Mariana Islands,2020-08-17,NA,NA,55144
Northern Mariana Islands,2020-08-18,NA,NA,55144
Northern Mariana Islands,2020-08-19,NA,NA,55144
Northern Mariana Islands,2020-08-20,NA,NA,55144
Northern Mariana Islands,2020-08-21,NA,NA,55144
Northern Mariana Islands,2020-08-22,NA,NA,55144
Northern Mariana Islands,2020-08-23,NA,NA,55144
Northern Mariana Islands,2020-08-24,NA,NA,55144
Northern Mariana Islands,2020-08-25,NA,NA,55144
Northern Mariana Islands,2020-08-26,NA,NA,55144
Northern Mariana Islands,2020-08-27,NA,NA,55144
Northern Mariana Islands,2020-08-28,NA,NA,55144
Northern Mariana Islands,2020-08-29,NA,NA,55144
Northern Mariana Islands,2020-08-30,NA,NA,55144
Northern Mariana Islands,2020-08-31,NA,NA,55144
Northern Mariana Islands,2020-09-01,NA,NA,55144
Northern Mariana Islands,2020-09-02,NA,NA,55144
Northern Mariana Islands,2020-09-03,NA,NA,55144
Northern Mariana Islands,2020-09-04,NA,NA,55144
Northern Mariana Islands,2020-09-05,NA,NA,55144
Northern Mariana Islands,2020-09-06,NA,NA,55144
Northern Mariana Islands,2020-09-07,NA,NA,55144
Northern Mariana Islands,2020-09-08,NA,NA,55144
Northern Mariana Islands,2020-09-09,NA,NA,55144
Northern Mariana Islands,2020-09-10,NA,NA,55144
Northern Mariana Islands,2020-09-11,NA,NA,55144
Northern Mariana Islands,2020-09-12,NA,NA,55144
Northern Mariana Islands,2020-09-13,NA,NA,55144
Northern Mariana Islands,2020-09-14,NA,NA,55144
Northern Mariana Islands,2020-09-15,NA,NA,55144
Northern Mariana Islands,2020-09-16,NA,NA,55144
Northern Mariana Islands,2020-09-17,NA,NA,55144
Northern Mariana Islands,2020-09-18,NA,NA,55144
Northern Mariana Islands,2020-09-19,NA,NA,55144
Northern Mariana Islands,2020-09-20,NA,NA,55144
Northern Mariana Islands,2020-09-21,NA,NA,55144
Northern Mariana Islands,2020-09-22,NA,NA,55144
Northern Mariana Islands,2020-09-23,NA,NA,55144
Northern Mariana Islands,2020-09-24,NA,NA,55144
Northern Mariana Islands,2020-09-25,NA,NA,55144
Northern Mariana Islands,2020-09-26,NA,NA,55144
Northern Mariana Islands,2020-09-27,NA,NA,55144
Northern Mariana Islands,2020-09-28,NA,NA,55144
Northern Mariana Islands,2020-09-29,NA,NA,55144
Northern Mariana Islands,2020-09-30,NA,NA,55144
Northern Mariana Islands,2020-10-01,NA,NA,55144
Northern Mariana Islands,2020-10-02,NA,NA,55144
Northern Mariana Islands,2020-10-03,NA,NA,55144
Northern Mariana Islands,2020-10-04,NA,NA,55144
Northern Mariana Islands,2020-10-05,NA,NA,55144
Northern Mariana Islands,2020-10-06,NA,NA,55144
Northern Mariana Islands,2020-10-07,NA,NA,55144
Northern Mariana Islands,2020-10-08,NA,NA,55144
Northern Mariana Islands,2020-10-09,NA,NA,55144
Northern Mariana Islands,2020-10-10,NA,NA,55144
Northern Mariana Islands,2020-10-11,NA,NA,55144
Northern Mariana Islands,2020-10-12,NA,NA,55144
Northern Mariana Islands,2020-10-13,NA,NA,55144
Northern Mariana Islands,2020-10-14,NA,NA,55144
Northern Mariana Islands,2020-10-15,NA,NA,55144
Northern Mariana Islands,2020-10-16,NA,NA,55144
Northern Mariana Islands,2020-10-17,NA,NA,55144
Northern Mariana Islands,2020-10-18,NA,NA,55144
Northern Mariana Islands,2020-10-19,NA,NA,55144
Northern Mariana Islands,2020-10-20,NA,NA,55144
Northern Mariana Islands,2020-10-21,NA,NA,55144
Northern Mariana Islands,2020-10-22,NA,NA,55144
Northern Mariana Islands,2020-10-23,NA,NA,55144
Northern Mariana Islands,2020-10-24,NA,NA,55144
Northern Mariana Islands,2020-10-25,NA,NA,55144
Northern Mariana Islands,2020-10-26,NA,NA,55144
Northern Mariana Islands,2020-10-27,NA,NA,55144
Northern Mariana Islands,2020-10-28,NA,NA,55144
Northern Mariana Islands,2020-10-29,NA,NA,55144
Northern Mariana Islands,2020-10-30,NA,NA,55144
Northern Mariana Islands,2020-10-31,NA,NA,55144
Northern Mariana Islands,2020-11-01,NA,NA,55144
Northern Mariana Islands,2020-11-02,NA,NA,55144
Northern Mariana Islands,2020-11-03,NA,NA,55144
Northern Mariana Islands,2020-11-04,NA,NA,55144
Northern Mariana Islands,2020-11-05,NA,NA,55144
Northern Mariana Islands,2020-11-06,NA,NA,55144
Northern Mariana Islands,2020-11-07,NA,NA,55144
Northern Mariana Islands,2020-11-08,NA,NA,55144
Northern Mariana Islands,2020-11-09,NA,NA,55144
Northern Mariana Islands,2020-11-10,NA,NA,55144
Northern Mariana Islands,2020-11-11,NA,NA,55144
Northern Mariana Islands,2020-11-12,NA,NA,55144
Northern Mariana Islands,2020-11-13,NA,NA,55144
Northern Mariana Islands,2020-11-14,NA,NA,55144
Northern Mariana Islands,2020-11-15,NA,NA,55144
Northern Mariana Islands,2020-11-16,NA,NA,55144
Northern Mariana Islands,2020-11-17,NA,NA,55144
Northern Mariana Islands,2020-11-18,NA,NA,55144
Northern Mariana Islands,2020-11-19,NA,NA,55144
Northern Mariana Islands,2020-11-20,NA,NA,55144
Northern Mariana Islands,2020-11-21,NA,NA,55144
Northern Mariana Islands,2020-11-22,NA,NA,55144
Northern Mariana Islands,2020-11-23,NA,NA,55144
Northern Mariana Islands,2020-11-24,NA,NA,55144
Northern Mariana Islands,2020-11-25,NA,NA,55144
Northern Mariana Islands,2020-11-26,NA,NA,55144
Northern Mariana Islands,2020-11-27,NA,NA,55144
Northern Mariana Islands,2020-11-28,NA,NA,55144
Northern Mariana Islands,2020-11-29,NA,NA,55144
Northern Mariana Islands,2020-11-30,NA,NA,55144
Northern Mariana Islands,2020-12-01,NA,NA,55144
Northern Mariana Islands,2020-12-02,NA,NA,55144
Northern Mariana Islands,2020-12-03,NA,NA,55144
Northern Mariana Islands,2020-12-04,NA,NA,55144
Northern Mariana Islands,2020-12-05,NA,NA,55144
Northern Mariana Islands,2020-12-06,NA,NA,55144
Northern Mariana Islands,2020-12-07,NA,NA,55144
Northern Mariana Islands,2020-12-08,NA,NA,55144
Northern Mariana Islands,2020-12-09,NA,NA,55144
Northern Mariana Islands,2020-12-10,NA,NA,55144
Northern Mariana Islands,2020-12-11,NA,NA,55144
Northern Mariana Islands,2020-12-12,NA,NA,55144
Northern Mariana Islands,2020-12-13,0,0,55144
Northern Mariana Islands,2020-12-14,0,0,55144
Northern Mariana Islands,2020-12-15,0,0,55144
Northern Mariana Islands,2020-12-16,0,0,55144
Northern Mariana Islands,2020-12-17,0,0,55144
Northern Mariana Islands,2020-12-18,0,0,55144
Northern Mariana Islands,2020-12-19,0,0,55144
Northern Mariana Islands,2020-12-20,0,0,55144
Northern Mariana Islands,2020-12-21,0.0018134339184680112,1,55144
Northern Mariana Islands,2020-12-22,0.0018134339184680112,1,55144
Northern Mariana Islands,2020-12-23,0.0018134339184680112,1,55144
Northern Mariana Islands,2020-12-24,0.0018134339184680112,1,55144
Northern Mariana Islands,2020-12-25,0.0018134339184680112,1,55144
Northern Mariana Islands,2020-12-26,0.0018134339184680112,1,55144
Northern Mariana Islands,2020-12-27,0.0018134339184680112,1,55144
Northern Mariana Islands,2020-12-28,0.0018134339184680112,1,55144
Northern Mariana Islands,2020-12-29,0.0018134339184680112,1,55144
Northern Mariana Islands,2020-12-30,0.0018134339184680112,1,55144
Northern Mariana Islands,2020-12-31,0.0018134339184680112,1,55144
Northern Mariana Islands,2021-01-01,0.0018134339184680112,1,55144
Northern Mariana Islands,2021-01-02,0.0018134339184680112,1,55144
Northern Mariana Islands,2021-01-03,0.0018134339184680112,1,55144
Northern Mariana Islands,2021-01-04,0.0018134339184680112,1,55144
Northern Mariana Islands,2021-01-05,0.0018134339184680112,1,55144
Northern Mariana Islands,2021-01-06,0.0018134339184680112,1,55144
Northern Mariana Islands,2021-01-07,0.0018134339184680112,1,55144
Northern Mariana Islands,2021-01-08,0.0018134339184680112,1,55144
Northern Mariana Islands,2021-01-09,0.17227622225446104,95,55144
Northern Mariana Islands,2021-01-10,0.32823153924271,181,55144
Northern Mariana Islands,2021-01-11,0.5966197591759757,329,55144
Northern Mariana Islands,2021-01-12,1.2694037429276077,700,55144
Northern Mariana Islands,2021-01-13,2.0745684027274045,1144,55144
Northern Mariana Islands,2021-01-14,2.080008704482809,1147,55144
Northern Mariana Islands,2021-01-15,2.080008704482809,1147,55144
Northern Mariana Islands,2021-01-16,2.5623821267952995,1413,55144
Northern Mariana Islands,2021-01-17,3.086464529232555,1702,55144
Northern Mariana Islands,2021-01-18,3.4781662556216455,1918,55144
Northern Mariana Islands,2021-01-19,4.029450166835921,2222,55144
Northern Mariana Islands,2021-01-20,4.9017118816190335,2703,55144
Northern Mariana Islands,2021-01-21,5.4783838676918615,3021,55144
Northern Mariana Islands,2021-01-22,5.48019730161033,3022,55144
Northern Mariana Islands,2021-01-23,5.482010735528798,3023,55144
Northern Mariana Islands,2021-01-24,5.482010735528798,3023,55144
Northern Mariana Islands,2021-01-25,5.554548092267518,3063,55144
Northern Mariana Islands,2021-01-26,5.556361526185985,3064,55144
Northern Mariana Islands,2021-01-27,5.5599883940229216,3066,55144
Northern Mariana Islands,2021-01-28,5.5599883940229216,3066,55144
Northern Mariana Islands,2021-01-29,5.5599883940229216,3066,55144
Northern Mariana Islands,2021-01-30,5.7286377484404465,3159,55144
Northern Mariana Islands,2021-01-31,5.909981140287248,3259,55144
Northern Mariana Islands,2021-02-01,6.08044392862324,3353,55144
Northern Mariana Islands,2021-02-02,6.147540983606557,3390,55144
Northern Mariana Islands,2021-02-03,6.196503699405194,3417,55144
Northern Mariana Islands,2021-02-04,6.729653271434789,3711,55144
Northern Mariana Islands,2021-02-05,7.157623676193239,3947,55144
Northern Mariana Islands,2021-02-06,7.371608878572465,4065,55144
Northern Mariana Islands,2021-02-07,7.389743217757144,4075,55144
Northern Mariana Islands,2021-02-08,7.725228492673727,4260,55144
Northern Mariana Islands,2021-02-09,7.933773393297548,4375,55144
Northern Mariana Islands,2021-02-10,7.984549543014653,4403,55144
Northern Mariana Islands,2021-02-11,8.145945161758306,4492,55144
Northern Mariana Islands,2021-02-12,8.733497751341941,4816,55144
Northern Mariana Islands,2021-02-13,9.373639924561148,5169,55144
Northern Mariana Islands,2021-02-14,9.602132598288119,5295,55144
Northern Mariana Islands,2021-02-15,9.963005948063252,5494,55144
Northern Mariana Islands,2021-02-16,10.37465544755549,5721,55144
Northern Mariana Islands,2021-02-17,10.779051211373858,5944,55144
Northern Mariana Islands,2021-02-18,11.312200783403453,6238,55144
Northern Mariana Islands,2021-02-19,11.634992020890758,6416,55144
Northern Mariana Islands,2021-02-20,11.876178732047006,6549,55144
Northern Mariana Islands,2021-02-21,12.184462498186566,6719,55144
Northern Mariana Islands,2021-02-22,12.49093283040766,6888,55144
Northern Mariana Islands,2021-02-23,12.879007688959815,7102,55144
Northern Mariana Islands,2021-02-24,13.363194545190774,7369,55144
Northern Mariana Islands,2021-02-25,13.51189612650515,7451,55144
Northern Mariana Islands,2021-02-26,13.7585231394168,7587,55144
Northern Mariana Islands,2021-02-27,13.916291890323517,7674,55144
Northern Mariana Islands,2021-02-28,13.918105324241983,7675,55144
Northern Mariana Islands,2021-03-01,14.217321920789205,7840,55144
Northern Mariana Islands,2021-03-02,14.48752357464094,7989,55144
Northern Mariana Islands,2021-03-03,14.830262585231393,8178,55144
Northern Mariana Islands,2021-03-04,15.102277673001597,8328,55144
Northern Mariana Islands,2021-03-05,15.220150877702016,8393,55144
Northern Mariana Islands,2021-03-06,15.377919628608733,8480,55144
Northern Mariana Islands,2021-03-07,15.377919628608733,8480,55144
Northern Mariana Islands,2021-03-08,15.717031771362253,8667,55144
Northern Mariana Islands,2021-03-09,15.896561729290584,8766,55144
Northern Mariana Islands,2021-03-10,16.16857681706079,8916,55144
Northern Mariana Islands,2021-03-11,16.378935151603073,9032,55144
Northern Mariana Islands,2021-03-12,16.67452488031336,9195,55144
Northern Mariana Islands,2021-03-13,16.678151748150295,9197,55144
Northern Mariana Islands,2021-03-14,16.678151748150295,9197,55144
Northern Mariana Islands,2021-03-15,17.162338604381254,9464,55144
Northern Mariana Islands,2021-03-16,17.4035253155375,9597,55144
Northern Mariana Islands,2021-03-17,17.64108515885681,9728,55144
Northern Mariana Islands,2021-03-18,18.13433918468011,10000,55144
Northern Mariana Islands,2021-03-19,18.446249818656607,10172,55144
Northern Mariana Islands,2021-03-20,18.897794864355145,10421,55144
Northern Mariana Islands,2021-03-21,18.905048600029016,10425,55144
Northern Mariana Islands,2021-03-22,19.167996518206877,10570,55144
Northern Mariana Islands,2021-03-23,19.51980269838967,10764,55144
Northern Mariana Islands,2021-03-24,19.81176555926302,10925,55144
Northern Mariana Islands,2021-03-25,20.145437400261134,11109,55144
Northern Mariana Islands,2021-03-26,20.582474974611927,11350,55144
Northern Mariana Islands,2021-03-27,20.85086319454519,11498,55144
Northern Mariana Islands,2021-03-28,21.258885826200494,11723,55144
Northern Mariana Islands,2021-03-29,21.485565066008995,11848,55144
Northern Mariana Islands,2021-03-30,21.895401131582766,12074,55144
Northern Mariana Islands,2021-03-31,22.15472218192369,12217,55144
Northern Mariana Islands,2021-04-01,22.15472218192369,12217,55144
Northern Mariana Islands,2021-04-02,22.658856811257795,12495,55144
Northern Mariana Islands,2021-04-03,22.658856811257795,12495,55144
Northern Mariana Islands,2021-04-04,22.658856811257795,12495,55144
Northern Mariana Islands,2021-04-05,23.016103293195997,12692,55144
Northern Mariana Islands,2021-04-06,23.371536341215727,12888,55144
Northern Mariana Islands,2021-04-07,23.82308138691426,13137,55144
Northern Mariana Islands,2021-04-08,24.104163644276802,13292,55144
Northern Mariana Islands,2021-04-09,24.720731176555926,13632,55144
Northern Mariana Islands,2021-04-10,25.505948063252575,14065,55144
Northern Mariana Islands,2021-04-11,25.505948063252575,14065,55144
Northern Mariana Islands,2021-04-12,25.808791527636732,14232,55144
Northern Mariana Islands,2021-04-13,26.160597707819527,14426,55144
Northern Mariana Islands,2021-04-14,26.601262150007255,14669,55144
Northern Mariana Islands,2021-04-15,27.049180327868854,14916,55144
Northern Mariana Islands,2021-04-16,27.553314957202957,15194,55144
Northern Mariana Islands,2021-04-17,28.282315392427098,15596,55144
Northern Mariana Islands,2021-04-18,28.460031916436968,15694,55144
Northern Mariana Islands,2021-04-19,28.92064413172784,15948,55144
Northern Mariana Islands,2021-04-20,29.22167416219353,16114,55144
Northern Mariana Islands,2021-04-21,29.607935586827217,16327,55144
Northern Mariana Islands,2021-04-22,29.62788335993036,16338,55144
Northern Mariana Islands,2021-04-23,30.220876251269402,16665,55144
Northern Mariana Islands,2021-04-24,30.87915276367329,17028,55144
Northern Mariana Islands,2021-04-25,30.87915276367329,17028,55144
Northern Mariana Islands,2021-04-26,31.386914260844335,17308,55144
Northern Mariana Islands,2021-04-27,31.905556361526187,17594,55144
Northern Mariana Islands,2021-04-28,32.39337008559408,17863,55144
Northern Mariana Islands,2021-04-29,32.81408675467866,18095,55144
Northern Mariana Islands,2021-04-30,33.21848251849703,18318,55144
Northern Mariana Islands,2021-05-01,33.490497606267226,18468,55144
Northern Mariana Islands,2021-05-02,33.490497606267226,18468,55144
Northern Mariana Islands,2021-05-03,33.956550123313505,18725,55144
Northern Mariana Islands,2021-05-04,34.45343101697374,18999,55144
Northern Mariana Islands,2021-05-05,34.95756564630785,19277,55144
Northern Mariana Islands,2021-05-06,35.249528507181196,19438,55144
Northern Mariana Islands,2021-05-07,35.780864645292326,19731,55144
Northern Mariana Islands,2021-05-08,35.945887131872915,19822,55144
Northern Mariana Islands,2021-05-09,35.947700565791386,19823,55144
Northern Mariana Islands,2021-05-10,36.36841723487596,20055,55144
Northern Mariana Islands,2021-05-11,36.613230813869144,20190,55144
Northern Mariana Islands,2021-05-12,36.928768315682575,20364,55144
Northern Mariana Islands,2021-05-13,37.14638038589874,20484,55144
Northern Mariana Islands,2021-05-14,37.47642535905992,20666,55144
Northern Mariana Islands,2021-05-15,38.044030175540406,20979,55144
Northern Mariana Islands,2021-05-16,38.044030175540406,20979,55144
Northern Mariana Islands,2021-05-17,38.299724358044394,21120,55144
Northern Mariana Islands,2021-05-18,38.54816480487451,21257,55144
Northern Mariana Islands,2021-05-19,38.72769476280284,21356,55144
Northern Mariana Islands,2021-05-20,38.87276947628028,21436,55144
Northern Mariana Islands,2021-05-21,39.112142753518064,21568,55144
Northern Mariana Islands,2021-05-22,39.4385608588423,21748,55144
Northern Mariana Islands,2021-05-23,39.4385608588423,21748,55144
Northern Mariana Islands,2021-05-24,39.730523719715656,21909,55144
Northern Mariana Islands,2021-05-25,39.93362831858407,22021,55144
Northern Mariana Islands,2021-05-26,40.289061366603804,22217,55144
Northern Mariana Islands,2021-05-27,40.53024807776004,22350,55144
Northern Mariana Islands,2021-05-28,40.747860147976205,22470,55144
Northern Mariana Islands,2021-05-29,41.273755984331935,22760,55144
Northern Mariana Islands,2021-05-30,41.27738285216886,22762,55144
Northern Mariana Islands,2021-05-31,41.42608443348325,22844,55144
Northern Mariana Islands,2021-06-01,41.69809952125345,22994,55144
Northern Mariana Islands,2021-06-02,41.87037574350791,23089,55144
Northern Mariana Islands,2021-06-03,42.004569853474536,23163,55144
Northern Mariana Islands,2021-06-04,42.20767445234296,23275,55144
Northern Mariana Islands,2021-06-05,42.528652255911794,23452,55144
Northern Mariana Islands,2021-06-06,42.528652255911794,23452,55144
Northern Mariana Islands,2021-06-07,42.88408530393152,23648,55144
Northern Mariana Islands,2021-06-08,43.176048164804875,23809,55144
Northern Mariana Islands,2021-06-09,43.3954736689395,23930,55144
Northern Mariana Islands,2021-06-10,43.64391411576962,24067,55144
Northern Mariana Islands,2021-06-11,44.00841433338169,24268,55144
Northern Mariana Islands,2021-06-12,44.362033947482956,24463,55144
Northern Mariana Islands,2021-06-13,44.367474249238356,24466,55144
Northern Mariana Islands,2021-06-14,44.68119831713332,24639,55144
Northern Mariana Islands,2021-06-15,44.906064123023356,24763,55144
Northern Mariana Islands,2021-06-16,45.15994487160888,24903,55144
Northern Mariana Islands,2021-06-17,45.44646743072682,25061,55144
Northern Mariana Islands,2021-06-18,45.61511678514435,25154,55144
Northern Mariana Islands,2021-06-19,46.10655737704918,25425,55144
Northern Mariana Islands,2021-06-20,46.13013201798927,25438,55144
Northern Mariana Islands,2021-06-21,46.33867691861309,25553,55144
Northern Mariana Islands,2021-06-22,46.60162483679095,25698,55144
Northern Mariana Islands,2021-06-23,46.8482518497026,25834,55144
Northern Mariana Islands,2021-06-24,47.20005802988539,26028,55144
Northern Mariana Islands,2021-06-25,47.38865515740606,26132,55144
Northern Mariana Islands,2021-06-26,47.86196141012621,26393,55144
Northern Mariana Islands,2021-06-27,47.88916291890323,26408,55144
Northern Mariana Islands,2021-06-28,48.09589438560859,26522,55144
Northern Mariana Islands,2021-06-29,48.19381981720586,26576,55144
Northern Mariana Islands,2021-06-30,48.21376759030901,26587,55144
Northern Mariana Islands,2021-07-01,48.46220803713913,26724,55144
Northern Mariana Islands,2021-07-02,48.647178296822865,26826,55144
Northern Mariana Islands,2021-07-03,48.891991875816046,26961,55144
Northern Mariana Islands,2021-07-04,48.93732772377775,26986,55144
Northern Mariana Islands,2021-07-05,49.14224575656463,27099,55144
Northern Mariana Islands,2021-07-06,49.30726824314522,27190,55144
Northern Mariana Islands,2021-07-07,49.47591759756275,27283,55144
Northern Mariana Islands,2021-07-08,49.72979834614827,27423,55144
